user_id,movie_id,movie_title,rating_pred
1,423,E.T. the Extra-Terrestrial (1982),0.87360877
1,405,Mission: Impossible (1996),0.864239
1,385,True Lies (1994),0.78996646
1,568,Speed (1994),0.7835481
1,546,Broken Arrow (1996),0.76876277
1,393,Mrs. Doubtfire (1993),0.7182371
1,403,Batman (1989),0.71788424
1,318,Schindler's List (1993),0.71343094
1,655,Stand by Me (1986),0.7053729
1,367,Clueless (1995),0.69824463
2,748,"Saint, The (1997)",0.7499841
2,328,Conspiracy Theory (1997),0.7448191
2,333,"Game, The (1997)",0.7199634
2,245,"Devil's Own, The (1997)",0.6936561
2,323,Dante's Peak (1997),0.67428434
2,690,Seven Years in Tibet (1997),0.58938694
2,322,Murder at 1600 (1997),0.5659725
2,678,Volcano (1997),0.5519238
2,268,Chasing Amy (1997),0.5124319
2,326,G.I. Jane (1997),0.49451312
3,286,"English Patient, The (1996)",0.82336724
3,301,In & Out (1997),0.7450556
3,269,"Full Monty, The (1997)",0.7265632
3,690,Seven Years in Tibet (1997),0.7183262
3,313,Titanic (1997),0.70356184
3,310,"Rainmaker, The (1997)",0.6670664
3,748,"Saint, The (1997)",0.60854065
3,270,Gattaca (1997),0.59985536
3,289,Evita (1996),0.58034426
3,315,Apt Pupil (1998),0.5356634
4,286,"English Patient, The (1996)",0.53615546
4,269,"Full Monty, The (1997)",0.38420776
4,302,L.A. Confidential (1997),0.36392292
4,313,Titanic (1997),0.33944178
4,289,Evita (1996),0.25555837
4,748,"Saint, The (1997)",0.25389704
4,268,Chasing Amy (1997),0.25045362
4,323,Dante's Peak (1997),0.24851978
4,340,Boogie Nights (1997),0.24445306
4,333,"Game, The (1997)",0.23536521
5,195,"Terminator, The (1984)",0.80793405
5,56,Pulp Fiction (1994),0.8015753
5,82,Jurassic Park (1993),0.7776135
5,202,Groundhog Day (1993),0.7626687
5,96,Terminator 2: Judgment Day (1991),0.7103522
5,496,It's a Wonderful Life (1946),0.69770974
5,161,Top Gun (1986),0.6656421
5,88,Sleepless in Seattle (1993),0.6646423
5,132,"Wizard of Oz, The (1939)",0.6561084
5,22,Braveheart (1995),0.6385968
6,181,Return of the Jedi (1983),0.8588277
6,172,"Empire Strikes Back, The (1980)",0.8122258
6,210,Indiana Jones and the Last Crusade (1989),0.7507913
6,97,Dances with Wolves (1990),0.74034303
6,96,Terminator 2: Judgment Day (1991),0.70637524
6,121,Independence Day (ID4) (1996),0.6719915
